C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
4659751,16666999,23858248,14799135,4382783,20242145,9608551,3443158,479272,1202500,4649998,4781152,2600000,30032739,5830127,10783000,654847,13825000,84000,7939955,12612045,0,0,0,0,washington-commanders,2020
1221244,21081014,21750272,2696311,11441000,12690778,5920671,4811082,465151,610000,7510154,37377910,1533333,17825845,9863506,3409375,845311,14965533,687946,8571900,9487971,0,1013834,0,0,denver-broncos,2020
8071063,24651015,33172803,13269520,0,15069379,11133898,758400,792101,830000,8283106,8803156,755000,13076892,7691346,3508895,7410474,930234,833,16251977,21371004,0,0,0,0,los-angeles-chargers,2020
6131662,10309096,18288461,15121233,13312544,16855328,4834497,896133,326908,752166,5540907,13394717,784609,31658600,8104485,24703411,153142,7405884,227801,15824064,18841674,0,678333,0,0,las-vegas-raiders,2020
4753467,7035464,27443531,18300916,23049815,4402512,12692500,3195000,1849453,1020000,16436179,8300794,1319567,8222008,4626102,11775618,759814,8000000,1446668,13503400,37726559,0,890000,0,0,kansas-city-chiefs,2020
7670500,20585981,10698874,17644379,5179715,20458469,21050000,4828481,624986,610333,3133751,12348434,891434,21502377,8940067,1781709,207425,615157,755232,7153155,16749460,0,858333,0,0,jacksonville-jaguars,2020
9670720,18558683,21716531,2989137,5359871,9022390,16482931,4825600,808881,912700,14246605,16845351,2417333,14376678,17189386,5416034,368450,5314007,156534,6225120,37251157,0,627262,0,0,houston-texans,2020
15853858,14655505,14603849,37054668,5605006,14640722,4360820,700666,9733,910000,17750000,3594764,2164329,56551666,5946957,3017562,11333,2040422,210842,10984485,20718331,0,0,0,0,indianapolis-colts,2020
8430533,24727946,28882406,13970624,6356370,13424214,10100438,4910048,26167,1886119,18537647,3141931,3564739,23327421,9513729,7246957,44667,7478223,238134,8239773,21890922,0,675000,0,0,tennessee-titans,2020
10848191,34200604,13364404,27005698,6349403,7275350,4130795,2510296,388947,1172000,5344827,3803641,3050000,7973415,10340744,6787500,297647,4885000,53832,10177135,37677925,0,0,0,0,cincinnati-bengals,2020
12973442,21223538,16170818,17967795,4446761,10141982,7100316,1099289,59333,1000000,9176516,14280965,678333,12093010,8897397,10650000,1332436,4418018,575951,9702838,33655252,0,1457782,0,0,cleveland-browns,2020
3400802,37891335,16386503,17105976,789448,8150000,7105770,5102000,631571,1417663,12882800,20599888,2194784,6062573,8164791,3466430,699456,10288230,100910,12299624,13241358,0,3007333,0,0,baltimore-ravens,2020
8135000,22548945,19567231,12787710,3424252,14561143,16901077,2758961,236185,1135000,9343091,22196489,1860957,25937868,4239686,3259000,774648,3742578,1829336,8487575,7984055,0,2959166,0,0,pittsburgh-steelers,2020
8747217,18572380,19527248,2979401,2930036,5696460,19159941,1067062,485551,950000,11528827,7619665,654275,10906450,17814765,4298000,795354,8869540,314400,5331491,33472571,0,778115,0,0,new-york-jets,2020
4191341,41350283,15070300,8137009,11385000,26977930,941936,2418094,3269615,1080000,4534173,4064824,747245,16383427,11906628,3769196,1526624,2100000,5000,2953945,22962054,0,875000,0,0,new-england-patriots,2020
3157733,35138007,21636020,8212531,10417517,13078098,7163498,772800,151133,792012,4563651,16723195,2133000,18720444,11832320,4855000,5419972,17540000,292107,4605025,14893153,0,657937,0,0,miami-dolphins,2020
11981029,20230475,31637812,21221270,7903125,15412857,8207871,1538221,102324,975000,14041030,9065730,750000,8789760,5540792,1705413,1047734,9021085,206850,10225490,37433160,0,1191666,0,0,buffalo-bills,2020
2486879,19381918,6611019,8944477,6924668,18057315,12177298,645000,26333,1048750,9625000,23099426,2058235,24577708,12434801,7893676,1846983,2525670,1722720,9654902,20277149,0,0,0,0,arizona-cardinals,2019
2824451,18513567,12052020,19190657,5751525,3963638,7812063,2575000,1214310,1250000,16659168,18004906,2187000,11765577,12446413,8300000,2807977,866438,1261675,4256072,27274908,0,0,0,0,los-angeles-rams,2019
8522666,6296485,21709344,8055280,374411,7811425,15850000,2500000,1867768,875000,11281250,12062815,1242537,27060436,5052038,2629808,2887472,16619996,3922355,7109176,20706102,0,458000,0,0,seattle-seahawks,2019
8527927,21101117,39086636,9593968,5089040,9156359,15404365,4016470,24000,265588,15224052,10892166,686018,21549024,12818574,4168580,988387,4975000,2656334,4754868,23821868,0,5850000,0,0,san-francisco-49ers,2019
